time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-08-14T13:06:16.410Z,35.6978333,-117.563,9.72,0.97,ml,20,66,0.07579,0.17,ci,ci38967408,2019-08-14T13:10:03.715Z,"13km NE of Ridgecrest, CA",earthquake,0.3,0.84,0.114,11,automatic,ci,ci
2019-08-14T13:04:39.860Z,35.892,-117.6763333,2.81,0.87,ml,15,79,0.05963,0.13,ci,ci38967400,2019-08-14T13:08:12.344Z,"21km ESE of Little Lake, CA",earthquake,0.23,0.37,0.105,11,automatic,ci,ci
2019-08-14T13:02:54.369Z,35.83033333,-98.09483333,5,1.64,ml,12,148,0.5101998814,0.19,ok,ok2019pwca,2019-08-14T13:43:28.046Z,"15km WSW of Kingfisher, Oklahoma",earthquake,,2.1,0.26,3,reviewed,ok,ok
2019-08-14T12:52:53.080Z,33.1861667,-116.1426667,9.84,0.9,ml,22,65,0.03704,0.18,ci,ci38967392,2019-08-14T12:56:25.099Z,"5km NNW of Ocotillo Wells, CA",earthquake,0.32,0.66,0.158,16,automatic,ci,ci
2019-08-14T12:50:17.500Z,19.4386673,-155.3148346,2.22,1.76,ml,31,49,0.02844,0.22,hv,hv71087377,2019-08-14T12:55:59.170Z,"8km W of Volcano, Hawaii",earthquake,0.44,0.66,0.24,6,automatic,hv,hv
2019-08-14T12:40:36.030Z,35.8873333,-117.6875,2.74,1.03,ml,17,77,0.06753,0.14,ci,ci38967360,2019-08-14T12:44:16.863Z,"20km ESE of Little Lake, CA",earthquake,0.21,0.37,0.154,14,automatic,ci,ci
2019-08-14T12:39:09.720Z,35.6876667,-117.7421667,18.87,1.01,ml,13,124,0.122,0.29,ci,ci38967352,2019-08-14T12:42:45.349Z,"8km NE of Inyokern, CA",earthquake,1.5,1.97,0.177,13,automatic,ci,ci
2019-08-14T12:31:42.840Z,35.823,-117.6621667,8.04,0.7,ml,10,74,0.05305,0.12,ci,ci38967344,2019-08-14T12:35:27.278Z,"22km N of Ridgecrest, CA",earthquake,0.34,0.9,0.107,7,automatic,ci,ci
2019-08-14T12:28:37.480Z,35.7691667,-117.5948333,1.41,1.34,ml,24,64,0.1437,0.18,ci,ci38967336,2019-08-14T12:32:12.947Z,"17km W of Searles Valley, CA",earthquake,0.28,0.44,0.095,15,automatic,ci,ci
2019-08-14T12:23:08.203Z,-18.6623,-69.6195,118.08,4.4,mb,,97,0.342,0.96,us,us600054xu,2019-08-14T12:48:00.040Z,"51km S of Putre, Chile",earthquake,6,7.6,0.17,10,reviewed,us,us
2019-08-14T12:20:40.851Z,62.8381,-151.7402,11.1,1.1,ml,,,,0.64,ak,ak019adyq0bu,2019-08-14T12:32:23.611Z,"101km NW of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-08-14T12:13:10.680Z,35.8876667,-117.6751667,5,0.69,ml,9,87,0.06338,0.2,ci,ci38967320,2019-08-14T12:16:48.453Z,"22km ESE of Little Lake, CA",earthquake,0.63,1.32,0.081,6,automatic,ci,ci
2019-08-14T12:10:38.410Z,36.0991667,-117.8938333,4.08,1.13,ml,15,135,0.03652,0.12,ci,ci38967312,2019-08-14T12:14:09.842Z,"8km NE of Coso Junction, CA",earthquake,0.29,0.46,0.204,13,automatic,ci,ci
2019-08-14T12:09:17.610Z,35.5965,-117.4941667,6.38,0.79,ml,17,72,0.003341,0.16,ci,ci38967304,2019-08-14T12:12:45.077Z,"17km E of Ridgecrest, CA",earthquake,0.3,0.49,0.153,8,automatic,ci,ci
2019-08-14T12:06:38.960Z,35.8728333,-117.687,2.52,0.89,ml,18,81,0.08059,0.22,ci,ci38967288,2019-08-14T12:10:18.817Z,"21km ESE of Little Lake, CA",earthquake,0.34,0.58,0.149,12,automatic,ci,ci
2019-08-14T12:04:04.624Z,59.9775,-153.3115,139.9,2.2,ml,,,,1.06,ak,ak019adymi2r,2019-08-14T12:12:49.294Z,"64km SSW of Redoubt Volcano, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-08-14T12:03:01.210Z,35.6733333,-117.4245,6.58,0.92,ml,16,154,0.008223,0.18,ci,ci38967272,2019-08-14T12:06:42.793Z,"11km S of Searles Valley, CA",earthquake,0.47,0.7,0.216,11,automatic,ci,ci
2019-08-14T12:00:37.740Z,35.6833333,-117.4095,9.41,1.04,ml,19,142,0.02153,0.21,ci,ci38967264,2019-08-14T12:04:09.305Z,"9km S of Searles Valley, CA",earthquake,0.48,0.76,0.199,12,automatic,ci,ci
2019-08-14T11:50:48.460Z,35.6285,-117.4585,4.75,1.16,ml,24,68,0.04008,0.15,ci,ci38967248,2019-08-14T11:54:34.273Z,"16km SSW of Searles Valley, CA",earthquake,0.26,0.4,0.231,12,automatic,ci,ci
2019-08-14T11:50:11.470Z,36.0798333,-117.8575,2.12,1.49,ml,18,132,0.03773,0.16,ci,ci38967240,2019-08-14T11:53:55.147Z,"9km ENE of Coso Junction, CA",earthquake,0.34,0.31,0.25,23,automatic,ci,ci
2019-08-14T11:49:10.960Z,36.0821667,-117.84,5.36,0.74,ml,7,133,0.03733,0.06,ci,ci38967232,2019-08-14T11:52:46.641Z,"11km ENE of Coso Junction, CA",earthquake,0.31,0.59,0.156,9,automatic,ci,ci
2019-08-14T11:46:05.610Z,35.8461667,-117.6791667,5.69,0.87,ml,19,78,0.07297,0.13,ci,ci38967224,2019-08-14T11:49:51.124Z,"23km ESE of Little Lake, CA",earthquake,0.25,0.8,0.19,13,automatic,ci,ci
2019-08-14T11:43:15.064Z,65.0528,-151.1987,4,2.9,ml,,,,1.16,ak,ak019ady9g8c,2019-08-14T12:25:53.040Z,"30km W of Manley Hot Springs, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-08-14T11:42:47.663Z,65.0595,-151.2824,8.1,2.8,ml,,,,1.26,ak,ak019ady9axv,2019-08-14T11:48:53.108Z,"31km WNW of Manley Hot Springs, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-08-14T11:40:45.720Z,35.8911667,-117.6736667,1.97,0.64,ml,6,88,0.05969,0.13,ci,ci38967216,2019-08-14T11:44:28.776Z,"22km ESE of Little Lake, CA",earthquake,0.33,1.2,0.205,9,automatic,ci,ci
2019-08-14T11:36:27.820Z,32.9436667,-115.5441667,8.25,2.02,ml,24,84,0.09952,0.24,ci,ci38967208,2019-08-14T11:47:09.190Z,"4km SSW of Brawley, CA",earthquake,0.41,1.87,0.211,26,automatic,ci,ci
2019-08-14T11:35:05.320Z,35.535,-117.3668333,7.74,0.94,ml,22,95,0.0102,0.22,ci,ci38967200,2019-08-14T11:38:39.280Z,"26km S of Trona, CA",earthquake,0.38,0.84,0.16,12,automatic,ci,ci
2019-08-14T11:33:29.200Z,35.9123333,-117.7248333,4.95,1.17,ml,23,56,0.07008,0.13,ci,ci38967192,2019-08-14T11:37:06.861Z,"17km E of Little Lake, CA",earthquake,0.18,0.9,0.169,19,automatic,ci,ci
2019-08-14T11:31:21.140Z,35.881,-117.6693333,3.59,1.3,ml,23,87,0.06851,0.16,ci,ci38967184,2019-08-14T11:34:50.160Z,"22km ESE of Little Lake, CA",earthquake,0.23,0.67,0.225,20,automatic,ci,ci
2019-08-14T11:30:25.720Z,35.898,-117.6751667,2.47,0.73,ml,10,85,0.05371,0.08,ci,ci38967176,2019-08-14T11:34:04.583Z,"21km ESE of Little Lake, CA",earthquake,0.21,0.34,0.12,10,automatic,ci,ci
2019-08-14T11:29:32.410Z,36.0476667,-117.528,0.61,0.98,ml,15,93,0.03323,0.13,ci,ci38967168,2019-08-14T11:33:17.576Z,"33km NNW of Searles Valley, CA",earthquake,0.3,0.39,0.078,13,automatic,ci,ci
2019-08-14T11:28:37.090Z,35.8963333,-117.6768333,2.64,0.82,ml,15,84,0.05576,0.13,ci,ci38967160,2019-08-14T11:32:04.569Z,"21km ESE of Little Lake, CA",earthquake,0.22,0.34,0.09,11,automatic,ci,ci
2019-08-14T11:26:05.530Z,36.0966667,-117.9273333,2.86,0.88,ml,14,191,0.06229,0.16,ci,ci38967152,2019-08-14T11:29:38.554Z,"6km NNE of Coso Junction, CA",earthquake,0.67,1.38,0.176,11,automatic,ci,ci
2019-08-14T11:24:32.310Z,35.863,-117.6985,4.79,0.72,ml,16,72,0.07655,0.13,ci,ci38967144,2019-08-14T11:28:13.547Z,"20km ESE of Little Lake, CA",earthquake,0.23,0.54,0.122,9,automatic,ci,ci
2019-08-14T11:20:18.090Z,66.6666,-148.4792,13.6,1.2,ml,,,,0.34,ak,ak019ady4iz5,2019-08-14T11:23:17.476Z,"99km SE of Coldfoot, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-08-14T11:14:39.170Z,39.3499985,-123.2529984,1.95,1.54,md,8,178,0.1357,0.06,nc,nc73250715,2019-08-14T13:17:02.544Z,"10km NNW of Redwood Valley, CA",earthquake,0.57,9.59,0.08,7,automatic,nc,nc
2019-08-14T11:08:27.660Z,35.5875,-117.411,3.24,1.06,ml,23,95,0.04174,0.2,ci,ci38967128,2019-08-14T11:12:10.476Z,"20km S of Trona, CA",earthquake,0.32,0.35,0.207,15,automatic,ci,ci
2019-08-14T11:04:29.360Z,35.5646667,-117.3985,3.18,0.97,ml,18,87,0.04835,0.21,ci,ci38967120,2019-08-14T11:08:13.447Z,"22km S of Trona, CA",earthquake,0.43,0.41,0.186,12,automatic,ci,ci
2019-08-14T11:04:11.330Z,35.8946667,-117.6721667,2.38,0.5,ml,9,88,0.05599,0.08,ci,ci38967112,2019-08-14T11:07:48.625Z,"22km ESE of Little Lake, CA",earthquake,0.28,0.42,0.17,8,automatic,ci,ci
2019-08-14T11:03:12.940Z,36.0705,-117.8735,6.06,0.83,ml,8,156,0.04935,0.1,ci,ci38967104,2019-08-14T11:06:47.284Z,"7km ENE of Coso Junction, CA",earthquake,0.39,0.8,0.053,2,automatic,ci,ci
2019-08-14T11:00:08.694Z,-31.1775,-177.2997,10,4.8,mb,,128,2.001,0.36,us,us600054x8,2019-08-14T11:56:58.040Z,"154km E of L'Esperance Rock, New Zealand",earthquake,9.5,1.9,0.109,26,reviewed,us,us
2019-08-14T10:59:10.720Z,35.6188333,-117.3826667,3.61,0.9,ml,17,121,0.057,0.23,ci,ci38967096,2019-08-14T11:02:47.342Z,"16km S of Trona, CA",earthquake,0.53,1.17,0.184,10,automatic,ci,ci
2019-08-14T10:54:24.910Z,35.872,-117.697,4.87,0.79,ml,19,74,0.08396,0.1,ci,ci38967088,2019-08-14T10:58:00.313Z,"20km ESE of Little Lake, CA",earthquake,0.2,0.42,0.206,11,automatic,ci,ci
2019-08-14T10:50:19.790Z,35.6821667,-117.5453333,6.67,1.32,ml,26,54,0.06304,0.18,ci,ci38967080,2019-08-14T10:54:04.290Z,"14km ENE of Ridgecrest, CA",earthquake,0.25,0.67,0.165,19,automatic,ci,ci
2019-08-14T10:48:11.072Z,61.3862,-150.0292,34,1,ml,,,,0.37,ak,ak019adxp2vn,2019-08-14T10:50:32.050Z,"15km SSW of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-08-14T10:44:23.160Z,35.5906667,-117.3983333,8.43,0.91,ml,20,98,0.05222,0.25,ci,ci38967072,2019-08-14T10:47:56.250Z,"19km S of Trona, CA",earthquake,0.48,0.71,0.125,11,automatic,ci,ci
2019-08-14T10:43:11.120Z,35.8958333,-117.6833333,2.42,0.45,ml,8,93,0.05844,0.11,ci,ci38967064,2019-08-14T10:46:51.245Z,"21km ESE of Little Lake, CA",earthquake,0.26,0.47,0.139,5,automatic,ci,ci
2019-08-14T10:40:20.940Z,35.8951667,-117.6708333,3.1,0.61,ml,10,89,0.05518,0.1,ci,ci38967056,2019-08-14T10:44:05.227Z,"22km ESE of Little Lake, CA",earthquake,0.24,1.66,0.187,8,automatic,ci,ci
2019-08-14T10:37:24.800Z,35.714,-117.5593333,2.9,2.27,ml,30,62,0.09211,0.17,ci,ci38967048,2019-08-14T10:48:35.010Z,"15km NE of Ridgecrest, CA",earthquake,0.21,0.43,0.164,26,automatic,ci,ci
2019-08-14T10:37:19.400Z,35.8985,-117.6723333,4.24,1.85,ml,31,43,0.05242,0.24,ci,ci38967040,2019-08-14T10:48:32.480Z,"22km ESE of Little Lake, CA",earthquake,0.27,0.67,0.132,10,automatic,ci,ci
2019-08-14T10:36:05.960Z,35.8976667,-117.675,2.37,2.53,ml,35,43,0.05396,0.15,ci,ci38967032,2019-08-14T10:46:34.760Z,"21km ESE of Little Lake, CA",earthquake,0.17,0.3,0.197,25,automatic,ci,ci
2019-08-14T10:35:11.974Z,60.9645,-148.0789,19.8,1.5,ml,,,,1.06,ak,ak019adxmams,2019-08-14T10:39:19.751Z,"39km ENE of Whittier, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-08-14T10:30:06.060Z,35.9236667,-117.7051667,2.47,0.88,ml,12,77,0.05061,0.13,ci,ci38967024,2019-08-14T10:33:39.802Z,"18km E of Little Lake, CA",earthquake,0.38,0.49,0.252,12,automatic,ci,ci
2019-08-14T10:28:44.470Z,35.6983333,-117.527,8.22,1.13,ml,25,66,0.08349,0.18,ci,ci38967016,2019-08-14T10:32:27.097Z,"14km SW of Searles Valley, CA",earthquake,0.3,0.76,0.212,13,automatic,ci,ci
2019-08-14T10:28:07.150Z,35.8491667,-117.6796667,3.87,0.63,ml,14,80,0.07463,0.17,ci,ci38967000,2019-08-14T10:31:52.705Z,"23km ESE of Little Lake, CA",earthquake,0.33,0.97,0.128,9,automatic,ci,ci
2019-08-14T10:27:33.220Z,35.91,-117.6853333,3,0.7,ml,16,66,0.04728,0.12,ci,ci38966992,2019-08-14T10:31:17.091Z,"20km E of Little Lake, CA",earthquake,0.24,0.36,0.094,10,automatic,ci,ci
2019-08-14T10:21:35.280Z,35.8113333,-117.6445,6.3,1.03,ml,24,56,0.03845,0.14,ci,ci38966968,2019-08-14T10:25:19.528Z,"21km N of Ridgecrest, CA",earthquake,0.21,0.52,0.199,15,automatic,ci,ci
2019-08-14T10:19:03.550Z,35.9071667,-117.6825,2.92,0.47,ml,8,92,0.04829,0.08,ci,ci38966960,2019-08-14T10:22:44.866Z,"20km E of Little Lake, CA",earthquake,0.22,0.31,0.038,6,automatic,ci,ci
2019-08-14T10:17:07.930Z,35.6528333,-117.4656667,2.46,0.6,ml,13,91,0.03632,0.17,ci,ci38966952,2019-08-14T10:20:48.250Z,"14km SSW of Searles Valley, CA",earthquake,0.29,0.39,0.094,4,automatic,ci,ci
2019-08-14T10:04:51.370Z,37.6466675,-118.9441681,5.58,0.9,md,12,75,0.01965,0.01,nc,nc73250685,2019-08-14T10:19:03.442Z,"3km ENE of Mammoth Lakes, CA",earthquake,0.78,1.67,0.13,11,automatic,nc,nc
2019-08-14T10:00:55.110Z,35.6486667,-117.447,1.14,1.33,ml,26,65,0.0251,0.16,ci,ci38966920,2019-08-14T10:04:37.749Z,"14km SSW of Searles Valley, CA",earthquake,0.22,0.43,0.114,19,automatic,ci,ci
2019-08-14T09:57:09.780Z,35.904,-117.675,1.69,1.06,ml,17,72,0.04815,0.19,ci,ci38966904,2019-08-14T10:00:49.478Z,"21km E of Little Lake, CA",earthquake,0.28,0.46,0.152,14,automatic,ci,ci
2019-08-14T09:54:35.950Z,35.79066667,-96.7055,5,1.39,ml,49,86,0.1520701586,0.18,ok,ok2019pvvu,2019-08-14T14:07:45.341Z,"6km NW of Stroud, Oklahoma",earthquake,,0.5,0.16,11,reviewed,ok,ok
2019-08-14T09:53:59.210Z,35.8991667,-117.6751667,2.92,1.68,ml,32,43,0.05263,0.13,ci,ci38966896,2019-08-14T10:05:11.190Z,"21km E of Little Lake, CA",earthquake,0.15,0.33,0.198,26,automatic,ci,ci
2019-08-14T09:51:53.290Z,35.905,-117.6563333,7.2,0.54,ml,7,96,0.04308,0.11,ci,ci38966888,2019-08-14T09:55:30.744Z,"23km E of Little Lake, CA",earthquake,0.81,1.55,0.1,6,automatic,ci,ci
2019-08-14T09:50:10.970Z,36.0835,-117.8365,4.36,0.72,ml,9,127,0.03712,0.11,ci,ci38966880,2019-08-14T09:53:51.089Z,"11km ENE of Coso Junction, CA",earthquake,0.41,0.49,0.143,7,automatic,ci,ci
2019-08-14T09:48:40.700Z,35.9013333,-117.6718333,1.82,1.5,ml,24,43,0.04962,0.13,ci,ci38966872,2019-08-14T09:59:11.870Z,"22km E of Little Lake, CA",earthquake,0.16,0.27,0.143,24,automatic,ci,ci
2019-08-14T09:46:43.428Z,68.5495,-147.6291,0,2,ml,,,,0.99,ak,ak019adx3ac6,2019-08-14T09:52:51.617Z,"98km WNW of Arctic Village, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-08-14T09:45:10.090Z,35.8088333,-117.635,4.39,1.47,ml,28,50,0.03124,0.13,ci,ci38966864,2019-08-14T09:56:08.740Z,"21km N of Ridgecrest, CA",earthquake,0.18,0.35,0.18,23,automatic,ci,ci
2019-08-14T09:44:30.430Z,34.0268333,-117.5126667,3.45,1.09,ml,27,38,0.04632,0.2,ci,ci38966856,2019-08-14T13:46:18.861Z,"3km WNW of Glen Avon, CA",earthquake,0.26,0.41,0.198,30,reviewed,ci,ci
2019-08-14T09:40:11.550Z,35.8981667,-117.67,2.04,0.98,ml,12,89,0.05212,0.17,ci,ci38966848,2019-08-14T09:43:51.182Z,"22km ESE of Little Lake, CA",earthquake,0.31,0.5,0.147,8,automatic,ci,ci
2019-08-14T09:38:50.950Z,35.897,-117.6765,2.53,2.64,ml,37,43,0.05504,0.15,ci,ci38966840,2019-08-14T10:25:28.003Z,"21km ESE of Little Lake, CA",earthquake,0.16,0.31,0.217,25,automatic,ci,ci
2019-08-14T09:38:08.448Z,62.3844,-151.2669,79.7,1.2,ml,,,,0.59,ak,ak019adx1hw8,2019-08-14T09:41:29.047Z,"60km W of Talkeetna, Alaska",earthquake,,1.2,,,automatic,ak,ak
2019-08-14T09:34:58.680Z,18.9691658,-155.4205017,13.74,2.25,ml,41,259,0.1894,0.31,hv,hv71087167,2019-08-14T09:40:40.110Z,"26km SSE of Pahala, Hawaii",earthquake,1.67,1.34,0.16,5,automatic,hv,hv
2019-08-14T09:34:19.960Z,35.8951667,-117.6768333,4,3.57,mw,59,21,0.05683,0.18,ci,ci38966824,2019-08-14T14:28:50.357Z,"21km ESE of Little Lake, CA",earthquake,0.12,0.36,,6,reviewed,ci,ci
2019-08-14T09:31:14.480Z,35.9113333,-117.7335,3.73,0.72,ml,11,65,0.0767,0.12,ci,ci38966816,2019-08-14T09:34:48.964Z,"16km E of Little Lake, CA",earthquake,0.25,0.99,0.239,9,automatic,ci,ci
2019-08-14T09:29:12.450Z,38.8088341,-122.82267,2.59,0.36,md,11,60,,0.06,nc,nc73250655,2019-08-14T11:24:02.338Z,"7km WNW of The Geysers, CA",earthquake,0.43,0.86,0.2,3,automatic,nc,nc
2019-08-14T09:28:56.062Z,61.9655,-149.162,1.2,1.8,ml,,,,0.93,ak,ak019adwzgfc,2019-08-14T09:33:17.315Z,"24km N of Fishhook, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-08-14T09:28:04.130Z,35.96,-117.6853333,2.47,0.48,ml,8,112,0.03082,0.2,ci,ci38966808,2019-08-14T09:31:32.943Z,"20km E of Little Lake, CA",earthquake,0.95,0.5,0.152,5,automatic,ci,ci
2019-08-14T09:26:58.920Z,35.6523333,-117.457,2.48,1.49,ml,24,50,0.02998,0.25,ci,ci38966800,2019-08-14T09:30:45.744Z,"14km SSW of Searles Valley, CA",earthquake,0.33,0.44,0.136,24,automatic,ci,ci
2019-08-14T09:25:06.430Z,35.7626667,-117.5823333,1.01,1.46,ml,30,63,0.05438,0.16,ci,ci38966784,2019-08-14T09:35:51.710Z,"16km W of Searles Valley, CA",earthquake,0.21,0.39,0.183,24,automatic,ci,ci
2019-08-14T09:22:29.680Z,36.0785,-117.8281667,2.69,1.35,ml,20,91,0.04459,0.16,ci,ci38966776,2019-08-14T09:33:37.620Z,"11km ENE of Coso Junction, CA",earthquake,0.26,0.83,0.244,21,automatic,ci,ci
2019-08-14T09:19:32.689Z,61.9023,-143.2818,20.9,1.8,ml,,,,1.1,ak,ak019adwxh6c,2019-08-14T09:23:44.435Z,"74km NE of Chitina, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-08-14T09:18:53.161Z,61.9988,-149.0453,3.6,3,ml,,,,0.59,ak,ak019adwxb0u,2019-08-14T11:20:47.499Z,"24km NNW of Sutton-Alpine, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-08-14T09:13:27.420Z,35.9048333,-117.7001667,2.29,0.57,ml,11,95,0.05899,0.2,ci,ci38966768,2019-08-14T09:17:04.227Z,"19km E of Little Lake, CA",earthquake,0.43,0.62,0.078,6,automatic,ci,ci
